SNO.,ROLL NUMBER,Q1 (5),Q2 (5),Q3 (5),Q4 (5),Q5 (5),Q6 (5),Q7 (5),Q8 (5),Q9 (5),Q10 (5),Q11 (5),Q12 (5),Top 9 (out of 45),Out of 30
325,102203457,5,5,AB,5,2,4,2,5,5,5,5,3,42,28.0
326,102203459,4,4,2,5,AB,3,3,4,5,4,5,2,37,24.7
327,102203461,5,5,3,5,4,5,4,4,4,5,5,5,43,28.7
328,102203462,5,5,4,5,4,3,4,4,5,5,5,5,43,28.7
329,102203466,5,5,AB,4,2,5,3,4,5,5,5,5,43,28.7
330,102203468,3,3,4,4,2,3,AB,3,5,5,5,2,35,23.3
331,102203469,5,5,4,5,4,5,AB,AB,5,4,4,5,42,28.0
332,102203470,5,5,5,5,4,AB,2,3,5,4,5,5,43,28.7
333,102203475,4,4,4,4,4,AB,1,4,5,5,5,3,39,26.0
334,102203476,3,3,4,AB,AB,AB,AB,AB,AB,3,4,5,22,14.7
335,102203478,5,5,3,5,AB,5,AB,AB,5,2,4,5,39,26.0
336,102203479,4,4,5,4,1,5,AB,5,4,4,5,5,41,27.3
337,102203480,5,5,4,4,4,5,5,3,4,5,5,5,43,28.7
338,102203482,4,4,AB,AB,1,5,AB,5,5,5,5,5,39,26.0
339,102203483,3,3,1,4,5,4,5,5,4,5,5,5,42,28.0
340,102203488,5,5,3,5,5,4,4,4,5,5,5,5,44,29.3
341,102203490,AB,AB,4,AB,2,AB,AB,AB,5,4,AB,AB,15,10.0
342,102203492,5,5,5,4,4,4,3,4,4,4,4,1,39,26.0
343,102203494,3,3,3,5,4,2,3,3,5,5,AB,4,35,23.3
344,102203495,5,5,3,4,5,4,5,3,5,5,5,5,44,29.3
345,102203496,5,5,5,4,3,5,4,5,4,5,5,5,44,29.3
346,102203497,5,5,1,5,4,4,3,2,5,5,5,5,43,28.7
347,102203502,5,5,AB,AB,AB,4,AB,AB,AB,AB,0,3,17,11.3
348,102203504,4,4,3,5,5,5,4,5,5,4,5,5,43,28.7
349,102203505,5,5,4,5,4,5,4,4,5,5,5,5,44,29.3
350,102203506,AB,AB,4,3,4,5,4,4,5,5,5,5,41,27.3
351,102203507,5,5,3,4,3,4,4,4,5,5,4,5,41,27.3
352,102203508,5,5,5,5,4,AB,2,4,5,5,5,5,44,29.3
353,102203510,4,4,5,5,5,5,3,5,5,5,4,5,44,29.3
354,102203513,5,5,5,3,2,AB,5,3,4,5,5,5,42,28.0
355,102203522,4,4,5,AB,5,4,4,5,5,5,5,5,43,28.7
